statename|url|website|activity_level|activity_level_label|weekend|season|weeknumber,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-02-2016|2015-16|52,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-09-2016|2015-16|1,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-09-2016|2015-16|1,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-16-2016|2015-16|2,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-16-2016|2015-16|2,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-23-2016|2015-16|3,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-23-2016|2015-16|3,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-30-2016|2015-16|4,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-30-2016|2015-16|4,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-06-2016|2015-16|5,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-06-2016|2015-16|5,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-13-2016|2015-16|6,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-13-2016|2015-16|6,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-20-2016|2015-16|7,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-20-2016|2015-16|7,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-27-2016|2015-16|8,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-27-2016|2015-16|8,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-05-2016|2015-16|9,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-05-2016|2015-16|9,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-12-2016|2015-16|10,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-12-2016|2015-16|10,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-19-2016|2015-16|11,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-19-2016|2015-16|11,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-26-2016|2015-16|12,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-26-2016|2015-16|12,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-02-2016|2015-16|13,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-02-2016|2015-16|13,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-09-2016|2015-16|14,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-09-2016|2015-16|14,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-16-2016|2015-16|15,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-16-2016|2015-16|15,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-23-2016|2015-16|16,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-23-2016|2015-16|16,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-30-2016|2015-16|17,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-30-2016|2015-16|17,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-07-2016|2015-16|18,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-07-2016|2015-16|18,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-14-2016|2015-16|19,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-14-2016|2015-16|19,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-21-2016|2015-16|20,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-21-2016|2015-16|20,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-28-2016|2015-16|21,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-28-2016|2015-16|21,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-04-2016|2015-16|22,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-04-2016|2015-16|22,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-11-2016|2015-16|23,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-04-2016|2015-16|22,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-11-2016|2015-16|23,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-11-2016|2015-16|23,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-25-2016|2015-16|25,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-18-2016|2015-16|24,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-18-2016|2015-16|24,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-25-2016|2015-16|25,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-02-2016|2015-16|26,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-09-2016|2015-16|27,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-25-2016|2015-16|25,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-02-2016|2015-16|26,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-02-2016|2015-16|26,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-09-2016|2015-16|27,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-09-2016|2015-16|27,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-16-2016|2015-16|28,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-16-2016|2015-16|28,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-23-2016|2015-16|29,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-16-2016|2015-16|28,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-23-2016|2015-16|29,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-30-2016|2015-16|30,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-06-2016|2015-16|31,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-23-2016|2015-16|29,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-30-2016|2015-16|30,,,
